latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-11.76284,-48.27134,318.82,0.42,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,292.97,2.05,N
-11.76068,-52.37788,326.29,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.52,1.77,N
-11.75994,-48.26688,325.1,0.42,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,292.71,2.06,N
-11.75787,-52.37355,313.9,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.79,1.57,N
-11.75726,-52.3773,305.38,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.01,1.77,N
-11.75645,-48.26632,327.6,0.42,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,293.43,2.06,N
-11.75587,-48.27025,302.56,0.42,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,291.85,1.32,N
-11.74874,-55.46486,305.97,0.57,0.43,2023-04-30,442,N,VIIRS,n,2.0NRT,289.85,1.35,N
-11.63051,-54.83406,308.52,0.53,0.42,2023-04-30,442,N,VIIRS,n,2.0NRT,291.65,0.94,N
-11.57744,-52.55337,306.48,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,292.47,1.08,N
-11.57526,-52.54516,317.29,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,292.84,3.51,N
-11.57492,-52.56859,324.83,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.11,2.11,N
-11.57492,-45.26017,308.36,0.4,0.44,2023-04-30,442,N,VIIRS,n,2.0NRT,289.71,0.93,N
-11.57463,-52.54897,356.14,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,297.01,24.75,N
-11.574,-52.55278,349.78,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,298.39,24.75,N
-11.57391,-52.54187,308.26,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,292.91,5.14,N
-11.57329,-52.54569,349.16,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,295.25,5.14,N
-11.57267,-52.5495,354.75,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,299.25,21.8,N
-11.57245,-52.54076,331.38,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.52,3.51,N
-11.57211,-52.56421,329.85,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.05,4.05,N
-11.57206,-52.55331,356.64,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,297.97,21.8,N
-11.57182,-52.54457,340.72,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.97,3.51,N
-11.57148,-52.568,331.58,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.84,4.05,N
-11.57144,-52.55713,329.38,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,292.95,6.55,N
-11.57119,-52.54838,350.04,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,296.83,24.75,N
-11.57108,-52.53748,314.51,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.58,2.33,N
-11.57056,-52.55219,356.44,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,300.07,24.75,N
-11.57046,-52.54129,336.3,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.57,5.14,N
