datetime;bateria;nivel;dist
2023-10-31 02:47:15;98;3;143
2023-10-31 02:48:10;98;2;144
2023-10-31 02:49:11;98;2;144
2023-10-31 02:50:11;98;3;143
2023-10-31 02:51:11;98;2;144
2023-10-31 02:52:12;98;1;145
2023-10-31 02:53:12;98;2;144
2023-10-31 02:54:13;98;2;144
2023-10-31 02:55:13;98;2;144
2023-10-31 02:56:13;98;2;144
2023-10-31 02:57:14;98;2;144
2023-10-31 02:58:09;98;2;144
2023-10-31 02:59:15;98;1;145
2023-10-31 03:00:10;98;2;144
2023-10-31 03:01:10;98;2;144
2023-10-31 03:02:11;98;2;144
2023-10-31 03:03:11;98;2;144
2023-10-31 03:04:11;98;2;144
2023-10-31 03:05:12;98;2;144
2023-10-31 03:06:12;98;2;144
2023-10-31 03:07:13;98;2;144
2023-10-31 03:08:13;98;2;144
2023-10-31 03:09:13;98;2;144
2023-10-31 03:10:14;98;2;144
2023-10-31 03:11:09;98;2;144
2023-10-31 03:12:15;98;2;144
2023-10-31 03:13:10;98;1;145
2023-10-31 03:14:10;98;2;144
2023-10-31 03:15:11;98;2;144
2023-10-31 03:16:11;98;2;144
2023-10-31 03:17:11;98;1;145
2023-10-31 03:18:12;98;2;144
2023-10-31 03:19:12;98;2;144
2023-10-31 03:20:13;98;2;144
2023-10-31 03:21:13;98;2;144
2023-10-31 03:22:13;98;2;144
2023-10-31 03:23:14;98;2;144
2023-10-31 03:24:09;98;2;144
2023-10-31 03:25:15;98;2;144
2023-10-31 03:26:10;98;2;144
2023-10-31 03:27:10;98;2;144
2023-10-31 03:28:11;98;2;144
2023-10-31 03:29:11;98;1;145
2023-10-31 03:30:11;98;2;144
2023-10-31 03:31:12;98;2;144
2023-10-31 03:32:12;97;2;144
2023-10-31 03:33:12;98;2;144
2023-10-31 03:34:13;97;2;144
2023-10-31 03:35:13;98;2;144
2023-10-31 03:36:14;98;1;145
2023-10-31 03:37:09;98;2;144
2023-10-31 03:38:14;98;2;144
2023-10-31 03:39:10;98;2;144
2023-10-31 03:40:10;98;1;145
2023-10-31 03:41:10;98;1;145
2023-10-31 03:42:11;97;0;146
2023-10-31 03:43:11;98;2;144
2023-10-31 03:44:12;98;1;145
2023-10-31 03:45:12;98;1;145
2023-10-31 03:46:12;98;1;145
2023-10-31 03:47:13;98;0;146
2023-10-31 03:48:13;98;1;145
2023-10-31 03:49:13;97;0;146
2023-10-31 03:50:09;98;0;146
2023-10-31 03:51:14;97;2;144
2023-10-31 03:52:09;97;2;144
2023-10-31 03:53:15;98;1;145
2023-10-31 03:54:10;98;2;144
2023-10-31 03:55:11;98;2;144
2023-10-31 03:56:11;97;2;144
2023-10-31 03:57:11;98;2;144
2023-10-31 03:58:12;98;0;146
2023-10-31 03:59:12;98;2;144
2023-10-31 04:00:13;97;2;144
2023-10-31 04:01:13;97;1;145
2023-10-31 04:02:13;97;2;144
2023-10-31 04:03:14;98;1;145
2023-10-31 04:04:09;97;2;144
2023-10-31 04:05:15;97;2;144
2023-10-31 04:06:10;97;2;144
2023-10-31 04:07:10;97;2;144
2023-10-31 04:08:10;97;1;145
2023-10-31 04:09:11;97;1;145
2023-10-31 04:10:11;97;2;144
2023-10-31 04:11:12;97;2;144
2023-10-31 04:12:12;97;1;145
2023-10-31 04:13:13;97;1;145
2023-10-31 04:14:13;97;1;145
2023-10-31 04:15:13;97;2;144
2023-10-31 04:16:14;97;2;144
2023-10-31 04:17:09;98;2;144
2023-10-31 04:18:14;97;2;144
2023-10-31 04:19:10;97;3;143
2023-10-31 04:20:10;97;3;143
2023-10-31 04:21:10;97;3;143
2023-10-31 04:22:11;97;3;143
2023-10-31 04:23:11;97;3;143
2023-10-31 04:24:12;97;3;143
2023-10-31 04:25:12;97;2;144
2023-10-31 04:26:12;97;3;143
2023-10-31 04:27:13;97;3;143
2023-10-31 04:28:13;97;3;143
2023-10-31 04:29:14;97;3;143
2023-10-31 04:30:09;97;3;143
2023-10-31 04:31:14;97;3;143
2023-10-31 04:32:10;97;2;144
2023-10-31 04:33:10;97;2;144
2023-10-31 04:34:10;97;3;143
2023-10-31 04:35:11;97;2;144
2023-10-31 04:36:11;97;2;144
2023-10-31 04:37:11;97;2;144
2023-10-31 04:38:12;97;2;144
2023-10-31 04:39:12;97;2;144
2023-10-31 04:40:13;97;2;144
2023-10-31 04:41:13;97;2;144
2023-10-31 04:42:13;97;2;144
2023-10-31 04:43:14;97;2;144
2023-10-31 04:44:09;97;3;143
2023-10-31 04:45:15;97;3;143
2023-10-31 04:46:10;97;3;143
2023-10-31 04:47:10;97;3;143
2023-10-31 04:48:11;97;3;143
2023-10-31 04:49:11;97;3;143
2023-10-31 04:50:11;97;4;142
2023-10-31 04:51:12;97;4;142
2023-10-31 04:52:12;97;4;142
2023-10-31 04:53:13;97;4;142
2023-10-31 04:54:13;97;4;142
2023-10-31 04:55:13;97;4;142
2023-10-31 04:56:14;97;4;142
2023-10-31 04:57:09;97;4;142
2023-10-31 04:58:14;97;3;143
2023-10-31 04:59:10;97;3;143
2023-10-31 05:00:10;97;3;143
2023-10-31 05:01:10;97;3;143
2023-10-31 05:02:11;97;3;143
2023-10-31 05:03:11;97;2;144
2023-10-31 05:04:12;97;1;145
2023-10-31 05:05:12;97;2;144
2023-10-31 05:06:12;97;2;144
2023-10-31 05:07:13;97;1;145
2023-10-31 05:08:13;97;2;144
2023-10-31 05:09:13;97;2;144
2023-10-31 05:10:14;97;2;144
2023-10-31 05:11:09;97;1;145
2023-10-31 05:12:15;97;1;145
2023-10-31 05:13:10;97;2;144
2023-10-31 05:14:10;97;2;144
2023-10-31 05:15:10;97;2;144
2023-10-31 05:16:11;97;2;144
2023-10-31 05:17:11;97;2;144
2023-10-31 05:18:12;97;3;143
2023-10-31 05:19:12;97;3;143
2023-10-31 05:20:12;97;3;143
2023-10-31 05:21:13;97;2;144
2023-10-31 05:22:13;97;3;143
2023-10-31 05:23:13;97;3;143
2023-10-31 05:24:09;97;3;143
2023-10-31 05:25:14;97;3;143
2023-10-31 05:26:09;97;3;143
2023-10-31 05:27:15;97;2;144
2023-10-31 05:28:10;97;2;144
2023-10-31 05:29:11;97;2;144
2023-10-31 05:30:11;97;1;145
2023-10-31 05:31:11;97;1;145
2023-10-31 05:32:12;97;0;146
2023-10-31 05:33:12;97;1;145
2023-10-31 05:34:12;97;2;144
2023-10-31 05:35:13;97;2;144
2023-10-31 05:36:13;97;2;144
2023-10-31 05:37:14;97;2;144
2023-10-31 05:38:09;97;2;144
2023-10-31 05:39:14;97;2;144
2023-10-31 05:40:10;97;3;143
2023-10-31 05:41:10;97;3;143
2023-10-31 05:42:10;97;3;143
2023-10-31 05:43:11;97;3;143
2023-10-31 05:44:11;97;3;143
2023-10-31 05:45:11;97;3;143
2023-10-31 05:46:12;97;4;142
2023-10-31 05:47:12;97;4;142
2023-10-31 05:48:13;97;4;142
2023-10-31 05:49:13;97;3;143
2023-10-31 05:50:13;97;4;142
2023-10-31 05:51:14;97;4;142
2023-10-31 05:52:09;97;3;143
2023-10-31 05:53:15;97;3;143
2023-10-31 05:54:10;97;3;143
2023-10-31 05:55:10;97;3;143
2023-10-31 05:56:10;97;3;143
