2023-1-5 12:47:28,PH:,4.118,ORP:,180.5,OD:,8.51,EC:,1.50,0,0.00,1.000,
2023-1-5 12:47:40,PH:,4.116,ORP:,182.3,OD:,8.50,EC:,1.57,0,0.00,1.000,
2023-1-5 12:47:53,PH:,4.113,ORP:,183.8,OD:,8.52,EC:,1.44,0,0.00,1.000,
2023-1-5 12:48:5,PH:,4.109,ORP:,185.5,OD:,8.52,EC:,1.82,0,0.00,1.000,
2023-1-5 12:48:17,PH:,4.105,ORP:,187.3,OD:,8.53,EC:,1.79,0,0.00,1.000,
2023-1-5 12:48:29,PH:,4.101,ORP:,188.9,OD:,8.54,EC:,1.77,0,0.00,1.000,
2023-1-5 12:48:41,PH:,4.101,ORP:,190.7,OD:,8.49,EC:,1.57,0,0.00,1.000,
2023-1-5 12:48:53,PH:,4.097,ORP:,192.2,OD:,8.52,EC:,1.50,0,0.00,1.000,
2023-1-5 12:49:5,PH:,4.094,ORP:,193.9,OD:,8.49,EC:,1.88,1,0.00,1.000,
2023-1-5 12:49:17,PH:,4.092,ORP:,195.2,OD:,8.45,EC:,1.77,0,0.00,1.000,
2023-1-5 12:49:29,PH:,4.091,ORP:,196.8,OD:,8.54,EC:,1.61,0,0.00,1.000,
2023-1-5 12:49:41,PH:,4.090,ORP:,198.2,OD:,8.51,EC:,1.54,0,0.00,1.000,
2023-1-5 12:49:53,PH:,4.089,ORP:,199.5,OD:,8.48,EC:,1.74,0,0.00,1.000,
2023-1-5 12:50:5,PH:,4.088,ORP:,201.2,OD:,8.52,EC:,1.55,0,0.00,1.000,
2023-1-5 12:50:17,PH:,4.085,ORP:,202.7,OD:,8.50,EC:,2.14,1,0.00,1.000,
2023-1-5 12:50:29,PH:,4.084,ORP:,204.6,OD:,8.52,EC:,1.76,0,0.00,1.000,
2023-1-5 12:50:41,PH:,4.084,ORP:,205.8,OD:,8.52,EC:,1.80,0,0.00,1.000,
2023-1-5 12:50:53,PH:,4.083,ORP:,207.0,OD:,8.52,EC:,1.64,0,0.00,1.000,
2023-1-5 12:51:5,PH:,4.081,ORP:,208.6,OD:,8.54,EC:,1.61,0,0.00,1.000,
2023-1-5 12:51:17,PH:,4.079,ORP:,209.9,OD:,8.54,EC:,1.49,0,0.00,1.000,
2023-1-5 12:51:30,PH:,4.080,ORP:,211.2,OD:,8.56,EC:,1.88,1,0.00,1.000,
2023-1-5 12:51:42,PH:,4.079,ORP:,212.5,OD:,8.54,EC:,1.79,0,0.00,1.000,
2023-1-5 12:51:54,PH:,4.078,ORP:,213.5,OD:,8.54,EC:,1.68,0,0.00,1.000,
2023-1-5 12:52:6,PH:,4.076,ORP:,214.9,OD:,8.59,EC:,1.69,0,0.00,1.000,
2023-1-5 12:52:18,PH:,4.075,ORP:,216.1,OD:,8.55,EC:,1.61,0,0.00,1.000,
2023-1-5 12:52:30,PH:,4.075,ORP:,217.3,OD:,8.52,EC:,1.27,0,0.00,1.000,
2023-1-5 12:52:42,PH:,4.075,ORP:,218.5,OD:,8.57,EC:,2.18,1,0.00,1.000,
2023-1-5 12:52:54,PH:,4.073,ORP:,219.8,OD:,8.55,EC:,1.99,1,0.00,1.000,
