datetime;cangilones;mm;mm15min
2023-04-16 00:02:45;0.0;0.0;0.0
2023-04-16 00:32:47;0.0;0.0;0.0
2023-04-16 01:02:44;0.0;0.0;0.0
2023-04-16 01:32:45;0.0;0.0;0.0
2023-04-16 02:02:42;0.0;0.0;0.0
2023-04-16 02:32:44;0.0;0.0;0.0
2023-04-16 03:02:45;0.0;0.0;0.0
2023-04-16 03:32:46;0.0;0.0;0.0
2023-04-16 04:02:43;0.0;0.0;0.0
2023-04-16 04:32:43;0.0;0.0;0.0
2023-04-16 05:02:44;0.0;0.0;0.0
2023-04-16 05:32:45;0.0;0.0;0.0
2023-04-16 06:02:45;0.0;0.0;0.0
2023-04-16 06:32:45;0.0;0.0;0.0
2023-04-16 07:02:41;0.0;0.0;0.0
2023-04-16 07:32:46;0.0;0.0;0.0
2023-04-16 08:02:41;0.0;0.0;0.0
2023-04-16 08:32:47;0.0;0.0;0.0
2023-04-16 09:02:46;0.0;0.0;0.0
2023-04-16 09:32:46;0.0;0.0;0.0
2023-04-16 10:02:50;0.0;0.0;0.0
2023-04-16 10:32:48;0.0;0.0;0.0
2023-04-16 11:02:50;0.0;0.0;0.0
2023-04-16 11:32:49;0.0;0.0;0.0
2023-04-16 12:02:53;0.0;0.0;0.0
2023-04-16 12:32:45;0.0;0.0;0.0
2023-04-16 13:02:50;0.0;0.0;0.0
2023-04-16 13:32:44;0.0;0.0;0.0
2023-04-16 14:02:47;0.0;0.0;0.0
2023-04-16 14:32:45;0.0;0.0;0.0
2023-04-16 15:02:46;0.0;0.0;0.0
2023-04-16 15:32:46;0.0;0.0;0.0
2023-04-16 16:02:48;0.0;0.0;0.0
2023-04-16 16:32:49;0.0;0.0;0.0
2023-04-16 17:02:49;0.0;0.0;0.0
2023-04-16 17:32:45;0.0;0.0;0.0
2023-04-16 18:02:48;0.0;0.0;0.0
2023-04-16 18:32:47;0.0;0.0;0.0
2023-04-16 19:02:45;0.0;0.0;0.0
2023-04-16 19:32:48;0.0;0.0;0.0
2023-04-16 20:02:45;0.0;0.0;0.0
2023-04-16 20:32:43;0.0;0.0;0.0
2023-04-16 21:02:45;0.0;0.0;0.0
2023-04-16 21:32:45;0.0;0.0;0.0
2023-04-16 22:02:41;0.0;0.0;0.0
2023-04-16 22:32:45;0.0;0.0;0.0
2023-04-16 23:02:40;0.0;0.0;0.0
2023-04-16 23:32:43;0.0;0.0;0.0
2023-04-17 00:02:41;0.0;0.0;0.0
2023-04-17 00:32:43;0.0;0.0;0.0
2023-04-17 01:02:41;0.0;0.0;0.0
2023-04-17 01:32:43;0.0;0.0;0.0
2023-04-17 02:02:41;0.0;0.0;0.0
2023-04-17 02:32:43;0.0;0.0;0.0
2023-04-17 03:02:41;0.0;0.0;0.0
2023-04-17 03:32:43;0.0;0.0;0.0
2023-04-17 04:02:40;0.0;0.0;0.0
2023-04-17 04:32:42;0.0;0.0;0.0
2023-04-17 05:02:39;0.0;0.0;0.0
2023-04-17 05:32:40;0.0;0.0;0.0
2023-04-17 06:02:41;0.0;0.0;0.0
2023-04-17 06:32:42;0.0;0.0;0.0
2023-04-17 07:02:38;0.0;0.0;0.0
2023-04-17 07:32:38;0.0;0.0;0.0
2023-04-17 08:02:39;0.0;0.0;0.0
2023-04-17 08:32:42;0.0;0.0;0.0
2023-04-17 09:02:45;0.0;0.0;0.0
2023-04-17 09:32:51;0.0;0.0;0.0
2023-04-17 10:02:51;0.0;0.0;0.0
2023-04-17 10:32:52;0.0;0.0;0.0
2023-04-17 11:02:54;0.0;0.0;0.0
2023-04-17 11:32:52;0.0;0.0;0.0
2023-04-17 12:02:55;0.0;0.0;0.0
2023-04-17 12:32:54;0.0;0.0;0.0
2023-04-17 13:02:53;0.0;0.0;0.0
2023-04-17 13:32:53;0.0;0.0;0.0
2023-04-17 14:02:57;0.0;0.0;0.0
2023-04-17 14:32:57;0.0;0.0;0.0
2023-04-17 15:02:57;0.0;0.0;0.0
2023-04-17 15:32:54;0.0;0.0;0.0
