datetime;voltaje;distancia
2022-12-27 06:53:08;3.91;246.0
2022-12-27 06:54:07;3.91;246.0
2022-12-27 06:55:05;3.91;246.0
2022-12-27 06:56:08;3.91;246.0
2022-12-27 06:57:07;3.91;246.0
2022-12-27 06:58:05;3.91;246.0
2022-12-27 06:59:09;3.91;246.0
2022-12-27 07:00:07;3.91;246.0
2022-12-27 07:01:06;3.91;245.0
2022-12-27 07:02:04;3.91;245.0
2022-12-27 07:03:07;3.91;245.0
2022-12-27 07:04:06;3.91;245.0
2022-12-27 07:05:04;3.91;245.0
2022-12-27 07:06:07;3.91;245.0
2022-12-27 07:07:06;3.91;245.0
2022-12-27 07:08:04;3.91;245.0
2022-12-27 07:09:08;3.91;245.0
2022-12-27 07:10:06;3.91;245.0
2022-12-27 07:11:05;3.91;245.0
2022-12-27 07:12:08;3.91;244.0
2022-12-27 07:13:06;3.91;244.0
2022-12-27 07:14:05;3.91;245.0
2022-12-27 07:15:08;3.91;245.0
2022-12-27 07:16:07;3.91;245.0
2022-12-27 07:17:05;3.91;245.0
2022-12-27 07:18:08;3.91;245.0
2022-12-27 07:19:07;3.91;245.0
2022-12-27 07:20:06;3.91;245.0
2022-12-27 07:21:04;3.91;245.0
2022-12-27 07:22:07;3.91;245.0
2022-12-27 07:23:06;3.91;245.0
2022-12-27 07:24:04;3.91;245.0
2022-12-27 07:25:08;3.91;244.0
2022-12-27 07:26:06;3.91;245.0
2022-12-27 07:27:05;3.91;245.0
2022-12-27 07:28:08;3.91;245.0
2022-12-27 07:29:06;3.91;245.0
2022-12-27 07:30:05;3.91;245.0
2022-12-27 07:31:08;3.91;245.0
2022-12-27 07:32:07;3.91;244.0
2022-12-27 07:33:05;3.91;244.0
2022-12-27 07:34:09;3.91;244.0
2022-12-27 07:35:07;3.91;244.0
2022-12-27 07:36:06;3.91;244.0
2022-12-27 07:37:04;3.91;244.0
2022-12-27 07:38:08;3.91;244.0
2022-12-27 07:39:06;3.91;244.0
2022-12-27 07:40:05;3.92;244.0
2022-12-27 07:41:08;3.92;244.0
2022-12-27 07:42:07;3.92;244.0
2022-12-27 07:43:05;3.92;244.0
2022-12-27 07:44:08;3.92;244.0
2022-12-27 07:45:07;3.92;244.0
2022-12-27 07:46:06;3.92;244.0
2022-12-27 07:47:04;3.92;244.0
2022-12-27 07:48:07;3.92;244.0
2022-12-27 07:49:06;3.92;244.0
2022-12-27 07:50:05;3.92;245.0
2022-12-27 07:51:08;3.92;245.0
2022-12-27 07:52:06;3.92;245.0
2022-12-27 07:53:05;3.92;245.0
2022-12-27 07:54:08;3.92;244.0
2022-12-27 07:55:07;3.92;244.0
2022-12-27 07:56:06;3.92;244.0
2022-12-27 07:57:04;3.92;244.0
2022-12-27 07:58:07;3.92;244.0
2022-12-27 07:59:06;3.92;244.0
2022-12-27 08:00:05;3.92;244.0
2022-12-27 08:01:08;3.92;244.0
2022-12-27 08:02:07;3.92;244.0
2022-12-27 08:03:05;3.92;244.0
2022-12-27 08:04:09;3.92;244.0
2022-12-27 08:05:07;3.92;244.0
2022-12-27 08:06:06;3.92;244.0
2022-12-27 08:07:04;3.92;244.0
2022-12-27 08:08:08;3.92;244.0
2022-12-27 08:09:06;3.92;244.0
2022-12-27 08:10:05;3.92;244.0
2022-12-27 08:11:08;3.92;244.0
2022-12-27 08:12:07;3.92;244.0
2022-12-27 08:13:06;3.92;244.0
2022-12-27 08:14:04;3.92;244.0
2022-12-27 08:15:08;3.92;244.0
2022-12-27 08:16:06;3.92;244.0
2022-12-27 08:17:05;3.92;244.0
2022-12-27 08:18:08;3.92;244.0
2022-12-27 08:19:07;3.92;244.0
2022-12-27 08:20:05;3.92;244.0
2022-12-27 08:21:09;3.93;244.0
2022-12-27 08:22:07;3.93;243.0
2022-12-27 08:23:06;3.93;243.0
2022-12-27 08:24:05;3.93;243.0
2022-12-27 08:25:08;3.93;243.0
2022-12-27 08:26:07;3.93;243.0
2022-12-27 08:27:05;3.93;243.0
2022-12-27 08:28:09;3.93;243.0
2022-12-27 08:29:07;3.93;243.0
